runid,host_name,num_cores,num_tasks,avg_task_duration,trace_size,failed_tasks,compute_time,io_time_input,io_time_output,comm/comp_ratio,total_bytes_read,total_bytes_write,completion_date,flops_per_task,power
extk-97,BatchHeadNode,28,97,0.0605,97,0,5.8685,0.285879,0.0249267,211.258,18446744073709551519,18446744073709551519,131.023,1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;1.239e+11;1.239e+11;1.239e+11;1.239e+11;1.1053e+12;1.1053e+12;1.1053e+12;1.1053e+12;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.76e+10;1.76e+10;1.762e+11;1.762e+11;2.316e+11;2.316e+11;2.316e+11;2.316e+11;6.8368e+12;6.8368e+12;6.8368e+12;6.8368e+12;6.8368e+12,53.8161
extk-97,CloudHeadNode,28,97,0.0605,97,0,5.8685,0.285879,0.0249267,211.258,18446744073709551519,18446744073709551519,131.023,1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;1.239e+11;1.239e+11;1.239e+11;1.239e+11;1.1053e+12;1.1053e+12;1.1053e+12;1.1053e+12;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.76e+10;1.76e+10;1.762e+11;1.762e+11;2.316e+11;2.316e+11;2.316e+11;2.316e+11;6.8368e+12;6.8368e+12;6.8368e+12;6.8368e+12;6.8368e+12,53.8161
extk-97,CloudNode1,28,97,0.0605,97,0,5.8685,0.285879,0.0249267,211.258,18446744073709551519,18446744073709551519,131.023,1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;1.239e+11;1.239e+11;1.239e+11;1.239e+11;1.1053e+12;1.1053e+12;1.1053e+12;1.1053e+12;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.76e+10;1.76e+10;1.762e+11;1.762e+11;2.316e+11;2.316e+11;2.316e+11;2.316e+11;6.8368e+12;6.8368e+12;6.8368e+12;6.8368e+12;6.8368e+12,646.821
extk-97,CloudNode2,28,97,0.0605,97,0,5.8685,0.285879,0.0249267,211.258,18446744073709551519,18446744073709551519,131.023,1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;1.239e+11;1.239e+11;1.239e+11;1.239e+11;1.1053e+12;1.1053e+12;1.1053e+12;1.1053e+12;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.76e+10;1.76e+10;1.762e+11;1.762e+11;2.316e+11;2.316e+11;2.316e+11;2.316e+11;6.8368e+12;6.8368e+12;6.8368e+12;6.8368e+12;6.8368e+12,63.7806
extk-97,CloudNode3,28,97,0.0605,97,0,5.8685,0.285879,0.0249267,211.258,18446744073709551519,18446744073709551519,131.023,1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;1.239e+11;1.239e+11;1.239e+11;1.239e+11;1.1053e+12;1.1053e+12;1.1053e+12;1.1053e+12;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.76e+10;1.76e+10;1.762e+11;1.762e+11;2.316e+11;2.316e+11;2.316e+11;2.316e+11;6.8368e+12;6.8368e+12;6.8368e+12;6.8368e+12;6.8368e+12,53.8161
extk-97,Node1,28,97,0.0605,97,0,5.8685,0.285879,0.0249267,211.258,18446744073709551519,18446744073709551519,131.023,1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;1.239e+11;1.239e+11;1.239e+11;1.239e+11;1.1053e+12;1.1053e+12;1.1053e+12;1.1053e+12;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.76e+10;1.76e+10;1.762e+11;1.762e+11;2.316e+11;2.316e+11;2.316e+11;2.316e+11;6.8368e+12;6.8368e+12;6.8368e+12;6.8368e+12;6.8368e+12,53.8161
extk-97,Node10,28,97,0.0605,97,0,5.8685,0.285879,0.0249267,211.258,18446744073709551519,18446744073709551519,131.023,1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;1.239e+11;1.239e+11;1.239e+11;1.239e+11;1.1053e+12;1.1053e+12;1.1053e+12;1.1053e+12;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.76e+10;1.76e+10;1.762e+11;1.762e+11;2.316e+11;2.316e+11;2.316e+11;2.316e+11;6.8368e+12;6.8368e+12;6.8368e+12;6.8368e+12;6.8368e+12,53.8161
extk-97,Node11,28,97,0.0605,97,0,5.8685,0.285879,0.0249267,211.258,18446744073709551519,18446744073709551519,131.023,1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;1.239e+11;1.239e+11;1.239e+11;1.239e+11;1.1053e+12;1.1053e+12;1.1053e+12;1.1053e+12;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.76e+10;1.76e+10;1.762e+11;1.762e+11;2.316e+11;2.316e+11;2.316e+11;2.316e+11;6.8368e+12;6.8368e+12;6.8368e+12;6.8368e+12;6.8368e+12,53.8161
extk-97,Node12,28,97,0.0605,97,0,5.8685,0.285879,0.0249267,211.258,18446744073709551519,18446744073709551519,131.023,1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;1.239e+11;1.239e+11;1.239e+11;1.239e+11;1.1053e+12;1.1053e+12;1.1053e+12;1.1053e+12;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.76e+10;1.76e+10;1.762e+11;1.762e+11;2.316e+11;2.316e+11;2.316e+11;2.316e+11;6.8368e+12;6.8368e+12;6.8368e+12;6.8368e+12;6.8368e+12,53.8161
extk-97,Node13,28,97,0.0605,97,0,5.8685,0.285879,0.0249267,211.258,18446744073709551519,18446744073709551519,131.023,1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;1.26348e+14;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;4.6525e+12;1.239e+11;1.239e+11;1.239e+11;1.239e+11;1.1053e+12;1.1053e+12;1.1053e+12;1.1053e+12;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.14103e+13;1.76e+10;1.76e+10;1.762e+11;1.762e+11;2.316e+11;2.316e+11;2.316e+11;2.316e+11;6.8368e+12;6.8368e+12;6.8368e+12;6.8368e+12;6.8368e+12,53.8161
